year,station,do,ph,co,bod,na,tc,wqi
2013,2293,6.8,7,72,1.7,0.2,785,82.94
2013,2337,2.9,6.7,305,2.2,1.28,1623,47.34
2013,2338,3,6.6,86,2,0.39,1319,56
2013,42,6.7,7.1,79,1.6,0.34,738,82.76
2013,2294,3.6,7.3,32790,2.6,0.59,112867,53.94
2013,3460,6.1,7.8,2905,1.3,0.54,997,82.04
2013,3458,6.9,7.4,112,0.5,0.35,67,88.38
2013,1571,7,6.9,51,1.1,0.18,317,85.26
2013,1155,3.1,7.2,1416,13.2,4.41,19917,44.58
2013,3471,7,7.1,30,0.5,0.32,496,88.56
2013,2289,6.1,7,59,1.8,0.58,282,88.56
2013,2301,6,6.4,61,2.1,0.28,300,72.06
2013,2291,6.3,7,105,2.8,0.37,543,82.76
2013,2326,6.9,8.1,502,0.9,0.72,615,82.04
2013,1569,5.9,6.7,14662,1.5,0.52,377,75.44
2013,2298,7.8,6.8,49,1.4,0.3,319,85.26
2013,1567,7.1,7.4,380,1,0.14,66382,70.8
2013,1568,7.3,7.2,67,0.9,0.38,3471,82.94
2013,2285,6.2,7.2,51,0.8,0.23,942,82.94
2013,1340,7.2,6.8,69,1.2,0.45,941,79.64
2013,1384,6.9,6.7,75,2.5,0.4,701,76.34
2013,3459,6.3,7.4,113,0.6,0.88,128,88.38
2013,2307,7.6,6.8,79,1.6,0.31,109,85.08
2013,1339,7,7.2,57,0.6,0.46,3558,82.94
2013,2304,5.9,7,22576,1.5,0.35,253,82.04
2013,43,6.8,7.2,105,0.6,0.39,2392,82.76
2013,2302,6.3,6.7,2315,1.3,0.17,278,81.06
2013,1570,6.4,6.9,18569,1,0.27,277,84.36
2013,1563,6.6,7.3,45,0.6,0.39,940,82.94
2013,2284,6.9,7.2,42,0.5,0.18,774,82.94
2013,2288,6,7.3,92,1.7,0.56,597,82.76
2013,1156,6.1,7.2,59,0.7,1.04,311,88.56
2013,1341,4.5,6.9,1190,0.7,1.17,388,73.12
2013,1565,4.2,7,69,0.6,1.04,420,77.32
2013,17,6,7,5569,2.2,0.68,1894,82.04
2013,18,7.3,7,34,1,0.27,927,82.94
2013,1338,6.3,7,44,1.6,0.32,1876,82.94
2013,2333,6.4,7.2,49,1.4,0.23,1357,82.94
2013,2334,5.9,7,3272,2.2,0.62,1284,76.42
2013,2335,4.6,7,65,1.7,0.28,1937,71.7
2013,2336,6.5,6.9,4650,2,1,1573,78.74
2013,3468,6.5,7,42,1.4,1,1221,82.94
2013,2300,6.4,6.4,45,1.2,1,376,72.06
2013,2303,6,6.1,56,1.2,0,438,72.06
2013,2290,5.3,6.8,99,2.8,0.79,523,73.84
2013,2299,3.6,6.5,22131,1.8,0.95,261,60.9
2013,2305,6.9,6.7,66,1.8,0,205,81.96
2013,2296,6,6.6,67,1.5,3.69,398,78.66
2013,2292,4.9,6.8,9107,1.6,1,614,67.5
2013,2306,6.3,7,18931,1.4,1,201,87.66
2013,3473,6.6,6.8,15525,1.1,0.06,347,84.36
2013,1442,7.1,7.5,46,0.8,1,1097,82.94
2013,1448,6,7.3,432,1.2,3,78,87.66
2013,2352,6.1,7.7,328,1.2,1,211,87.66
2013,3080,5.8,7.8,707,0.6,0.85,1100,76.42
2013,3081,6.1,8,674,0.9,1,1260,82.04
2013,1444,7.3,7.3,164,2.3,1,336,88.2
2013,2780,7.6,7.4,122,2.4,1,834,82.76
2013,1894,6.5,7.1,95,1,0,212,88.38
2013,1892,6.5,7.1,56,1,0,79,88.56
2013,2423,7.5,7.8,237,1.4,0.89,18918,71.16
2013,2424,7.6,7.6,3688,2.3,2.66,32918,70.8
2013,2425,7.3,7.5,82,1.2,1.58,17512,71.52
2013,2422,7.5,8,202,1.4,1.89,23191,71.34
2013,1642,7.3,7.9,232,2.9,2.23,30836,71.16
2013,1643,7.4,7.9,246,2.3,1.9,3900,82.4
2013,1455,6.9,8.1,3960,2,2.26,22523,70.8
2013,1456,7,8,28222,1.8,2.54,10469,70.8
2013,2426,7.2,7.8,201,1.3,1.59,31034,71.34
2013,2427,7.3,8,221,1.2,2.26,5289,82.58
2013,1685,6.7,7.8,183,1,1,468,88.2
2013,2442,8,7.7,401,1.8965,1,468,87.66
2013,2443,8,8.2,1886,4,1,468,82.98
2013,2444,7,8.2,742,5,1,468,82.98
2013,2445,7,6.4,149,4,1,468,67.2
2013,1450,6.7,7.5,1088,1.7,0,474,87.66
2013,1159,7.2,6.5,73,3.1,0,59,73.98
2013,1160,6.7,6.3,98,3.3,1.5,74,67.2
2013,1161,6.3,6.5,143,4,4,124,73.8
2013,1162,6.6,6.9,260,5.4,1,53,80.04
2013,1328,7.1,6.3,71,3.5,1,82,67.38
2013,1329,6.9,6.3,65,3.5,0,52,67.38
2013,1330,7.3,7.1,607,3.6,0.88,104,82.98
2013,3025,6.1,7,446,5.2,0.56,77,82.98
2013,3026,6.9,6.4,94,3.2,1.59,65,67.2
2013,3027,6.8,6.8,451,9.4,0.55,58,75
2013,3028,6,6.6,169,3.9,2,84,73.62
2013,3029,6.5,6.7,187,3.3,3,113,76.92
2013,3023,3.4,7.8,2577,164.9,1.5,160405392,30.54
2013,1861,6.7,7.3,183,1.8965,0.516,468,88.2
2013,1023,5.5,7.2,636,9.7,4,4975,67.06
2013,1024,4.7,7.3,1088,23.8,4,56000,50.2
2013,1295,5.3,7.2,689,11.3,4,6025,67.06
2013,1473,4.9,7.3,1267,23.5,3,54250,50.2
2013,1698,5.3,7.4,852,13,4,26750,55.82
2013,1699,4.9,7.5,977,16.5,5,30500,50.2
2013,1700,4.4,7.4,1256,24.8,6,55250,50.2
2013,1701,4.8,7.2,1021,20.3,4,43700,50.2
2013,1702,5.1,7.3,971,14.8,5,8425,67.06
2013,1703,4.6,7.4,1284,24.3,4,50000,50.2
2013,1704,4,7.4,1096,26,3,57500,44.58
2013,1705,4.4,7.3,1002,21.5,4,43750,50.2
2013,1025,6.7,6.9,910,13,0,468,75
2013,1026,6.7,6.5,930,15,0,468,68.4
2013,1884,5,7.3,183,33.9,0,468,67.6
2013,1887,6.7,6.7,960,18,0,468,71.7
2013,1718,4.8,7.6,295,0.8,0,9,82.4
2013,1871,7.1,7.5,293,1.3,0,19,93.64
2013,2624,7.1,7.5,316,1.4,0,22,93.28
2013,2625,6.6,7.5,274,1.6,0,24,93.64
2013,1870,4.9,7.4,407,16.3,0,120,67.06
2013,2947,4.9,8.3,603,1,0,5,87.66
2013,1717,5.5,7.4,138,0.8,0,6,88.38
2013,2948,5.5,8.1,625,1.1,0,6,87.66
2013,1719,5,7.3,305,1.7,0,12,82.04
2013,2949,5.6,8.1,552,1.1,0,6,87.66
2013,3305,7.3,7.3,402,2.1,0,32,93.28
2013,3383,7.2,7.3,99,2.2,1,57,88.38
2013,3384,7.2,7.4,102,2.2,1,56,88.38
2013,3380,7.6,7.2,72,1.8,2.56,57,88.56
2013,1632,7.1,7.5,131,2.2,3.2,413,88.38
2013,1428,5.2,2.9,682,7.8,1.5,30,61.8
2013,3369,7.3,7.1,47,1.3,2,48,94.18
2013,3370,7.6,7.2,52,1.2,2,36,94.18
2013,3371,8,6.9,64,1.8,3.38,49,90.88
2013,3372,7.9,7.3,46,1.4,1,29,94.18
2013,3373,7.4,7.2,53,1.9,3,32,94.18
2013,3374,7.7,7.2,55,1.6,3,63,88.56
